filename;processes;threads/cores;nx;problem-size(GB);DDOT;WAXPY;SpMV;MG;Raw-Total;HPCG-3.0;HPCG-2.4;Mode;Schedule;nodes;DDOT-opt;SPVM-opt;SPMV-ARMPL;SCHED-ON
../test7_unroll4_2/fj159-1ranks-1threads_HPCG-Benchmark_3.0_2022-11-17_04-21-08.txt;1;1;144;2.13405;8.55725;5.5523;1.51649;0.809394;0.894314;0.873463;0.880885;TDG;(static,0);1;?;1;?;0
../test7_unroll4_2/fj159-1ranks-2threads_HPCG-Benchmark_3.0_2022-11-17_04-24-31.txt;1;2;144;2.13405;16.6305;10.4678;3.01766;1.50527;1.66917;1.61048;1.62903;TDG;(static,0);1;?;1;?;0
../test7_unroll4_2/fj159-1ranks-3threads_HPCG-Benchmark_3.0_2022-11-17_04-27-46.txt;1;3;144;2.13405;22.7626;14.8655;4.35483;2.13719;2.36809;2.24728;2.28681;TDG;(static,0);1;?;1;?;0
../test7_unroll4_2/fj159-1ranks-4threads_HPCG-Benchmark_3.0_2022-11-17_04-31-02.txt;1;4;144;2.13405;27.0797;17.0601;4.94959;2.6112;2.8712;2.70112;2.75863;TDG;(static,0);1;?;1;?;0
../test7_unroll4_2/fj159-1ranks-5threads_HPCG-Benchmark_3.0_2022-11-17_04-34-01.txt;1;5;144;2.13405;27.8104;17.3079;6.05679;3.07745;3.3872;3.15591;3.2348;TDG;(static,0);1;?;1;?;0
../test7_unroll4_2/fj159-1ranks-6threads_HPCG-Benchmark_3.0_2022-11-17_04-37-05.txt;1;6;144;2.13405;28.9169;17.49;7.0908;3.50264;3.85662;3.5611;3.66461;TDG;(static,0);1;?;1;?;0
../test7_unroll4_2/fj159-1ranks-7threads_HPCG-Benchmark_3.0_2022-11-17_04-40-00.txt;1;7;144;2.13405;28.9609;17.4861;8.14585;3.84195;4.2386;3.86637;4.01052;TDG;(static,0);1;?;1;?;0
../test7_unroll4_2/fj159-1ranks-8threads_HPCG-Benchmark_3.0_2022-11-17_04-42-49.txt;1;8;144;2.13405;29.2296;17.519;9.18822;4.14937;4.58605;4.17161;4.32343;TDG;(static,0);1;?;1;?;0
../test7_unroll4_2/fj159-1ranks-9threads_HPCG-Benchmark_3.0_2022-11-17_04-45-44.txt;1;9;144;2.13405;28.8414;17.3351;10.1644;4.49105;4.96303;4.48321;4.65911;TDG;(static,0);1;?;1;?;0
../test7_unroll4_2/fj159-1ranks-10threads_HPCG-Benchmark_3.0_2022-11-17_04-48-33.txt;1;10;144;2.13405;28.9042;17.4961;11.1067;4.77402;5.2791;4.72579;4.93994;TDG;(static,0);1;?;1;?;0
../test7_unroll4_2/fj159-1ranks-11threads_HPCG-Benchmark_3.0_2022-11-17_04-51-28.txt;1;11;144;2.13405;28.9156;17.4981;12.1107;5.04347;5.58211;4.97911;5.20599;TDG;(static,0);1;?;1;?;0
../test7_unroll4_2/fj159-1ranks-12threads_HPCG-Benchmark_3.0_2022-11-17_04-54-21.txt;1;12;144;2.13405;28.8189;17.4613;13.0929;5.24418;5.81361;5.13766;5.40873;TDG;(static,0);1;?;1;?;0
