filename;processes;threads/cores;nx;problem-size(GB);DDOT;WAXPY;SpMV;MG;Raw-Total;HPCG-3.0;HPCG-2.4;Mode;Schedule;nodes;DDOT-opt;SPVM-opt;SPMV-ARMPL;SCHED-ON
../test3_neon/fj016-1ranks-1threads_HPCG-Benchmark_3.0_2022-11-11_05-48-23.txt;1;1;144;2.13405;8.51893;5.44128;1.20016;0.786407;0.852212;0.83331;0.840075;TDG;(static,0);1;?;?;?;0
../test3_neon/fj016-1ranks-2threads_HPCG-Benchmark_3.0_2022-11-11_05-51-53.txt;1;2;144;2.13405;16.2107;10.5361;2.37055;1.46464;1.59355;1.53927;1.55706;TDG;(static,0);1;?;?;?;0
../test3_neon/fj016-1ranks-3threads_HPCG-Benchmark_3.0_2022-11-11_05-55-12.txt;1;3;144;2.13405;22.8523;14.7871;3.46183;2.07581;2.26074;2.14851;2.18673;TDG;(static,0);1;?;?;?;0
../test3_neon/fj016-1ranks-4threads_HPCG-Benchmark_3.0_2022-11-11_05-58-13.txt;1;4;144;2.13405;26.5018;17.0841;3.93064;2.54397;2.74504;2.58752;2.64254;TDG;(static,0);1;?;?;?;0
../test3_neon/fj016-1ranks-5threads_HPCG-Benchmark_3.0_2022-11-11_06-01-16.txt;1;5;144;2.13405;27.8953;17.3359;4.88134;3.0051;3.25221;3.03537;3.11181;TDG;(static,0);1;?;?;?;0
../test3_neon/fj016-1ranks-6threads_HPCG-Benchmark_3.0_2022-11-11_06-04-24.txt;1;6;144;2.13405;29.0696;17.5878;5.75451;3.39335;3.68128;3.39329;3.50666;TDG;(static,0);1;?;?;?;0
../test3_neon/fj016-1ranks-7threads_HPCG-Benchmark_3.0_2022-11-11_06-07-22.txt;1;7;144;2.13405;29.1027;17.5274;6.56174;3.75103;4.07415;3.72897;3.86359;TDG;(static,0);1;?;?;?;0
../test3_neon/fj016-1ranks-8threads_HPCG-Benchmark_3.0_2022-11-11_06-10-14.txt;1;8;144;2.13405;29.3049;17.5214;7.51778;4.08783;4.45276;4.06116;4.20558;TDG;(static,0);1;?;?;?;0
../test3_neon/fj016-1ranks-9threads_HPCG-Benchmark_3.0_2022-11-11_06-13-10.txt;1;9;144;2.13405;28.9537;17.3647;8.37609;4.41993;4.81905;4.36168;4.5326;TDG;(static,0);1;?;?;?;0
../test3_neon/fj016-1ranks-10threads_HPCG-Benchmark_3.0_2022-11-11_06-16-02.txt;1;10;144;2.13405;28.9171;17.5126;9.14998;4.74024;5.16858;4.63897;4.84322;TDG;(static,0);1;?;?;?;0
../test3_neon/fj016-1ranks-11threads_HPCG-Benchmark_3.0_2022-11-11_06-18-49.txt;1;11;144;2.13405;28.9286;17.5205;9.97867;4.95291;5.41384;4.84387;5.05884;TDG;(static,0);1;?;?;?;0
../test3_neon/fj016-1ranks-12threads_HPCG-Benchmark_3.0_2022-11-11_06-21-43.txt;1;12;144;2.13405;28.7334;17.3478;10.7798;5.13008;5.62102;5.01436;5.24233;TDG;(static,0);1;?;?;?;0
