filename;processes;threads/cores;nx;problem-size(GB);DDOT;WAXPY;SpMV;MG;Raw-Total;HPCG-3.0;HPCG-2.4;Mode;Schedule;nodes;DDOT-opt;SPVM-opt;SPMV-ARMPL;SCHED-ON
../test1_empty/fj005-1ranks-1threads_HPCG-Benchmark_3.0_2022-11-17_15-51-58.txt;1;1;144;2.13405;8.52045;5.44246;1.19741;0.786365;0.85193;0.832568;0.839314;TDG;(static,0);1;?;?;?;0
../test1_empty/fj005-1ranks-2threads_HPCG-Benchmark_3.0_2022-11-17_15-55-28.txt;1;2;144;2.13405;16.6383;10.467;2.37048;1.46208;1.59096;1.53628;1.55314;TDG;(static,0);1;?;?;?;0
../test1_empty/fj005-1ranks-3threads_HPCG-Benchmark_3.0_2022-11-17_15-58-50.txt;1;3;144;2.13405;22.7544;14.829;3.18917;2.05823;2.22521;2.11589;2.15087;TDG;(static,0);1;?;?;?;0
../test1_empty/fj005-1ranks-4threads_HPCG-Benchmark_3.0_2022-11-17_16-01-50.txt;1;4;144;2.13405;26.88;17.0141;3.91138;2.53721;2.73683;2.57845;2.63056;TDG;(static,0);1;?;?;?;0
../test1_empty/fj005-1ranks-5threads_HPCG-Benchmark_3.0_2022-11-17_16-04-54.txt;1;5;144;2.13405;28.0224;17.1954;4.87066;2.99034;3.23671;3.0198;3.09209;TDG;(static,0);1;?;?;?;0
../test1_empty/fj005-1ranks-6threads_HPCG-Benchmark_3.0_2022-11-17_16-07-47.txt;1;6;144;2.13405;29.1124;17.4854;5.75084;3.38986;3.67694;3.39952;3.49492;TDG;(static,0);1;?;?;?;0
../test1_empty/fj005-1ranks-7threads_HPCG-Benchmark_3.0_2022-11-17_16-10-47.txt;1;7;144;2.13405;29.1129;17.4529;6.57331;3.75128;4.07405;3.72118;3.85497;TDG;(static,0);1;?;?;?;0
../test1_empty/fj005-1ranks-8threads_HPCG-Benchmark_3.0_2022-11-17_16-13-38.txt;1;8;144;2.13405;29.342;17.4269;7.48548;4.0705;4.43311;4.03537;4.17752;TDG;(static,0);1;?;?;?;0
../test1_empty/fj005-1ranks-9threads_HPCG-Benchmark_3.0_2022-11-17_16-16-36.txt;1;9;144;2.13405;28.9345;17.283;8.32378;4.40052;4.79622;4.33536;4.50074;TDG;(static,0);1;?;?;?;0
../test1_empty/fj005-1ranks-10threads_HPCG-Benchmark_3.0_2022-11-17_16-19-28.txt;1;10;144;2.13405;29.0005;17.4222;9.11436;4.6807;5.10734;4.57621;4.77599;TDG;(static,0);1;?;?;?;0
../test1_empty/fj005-1ranks-11threads_HPCG-Benchmark_3.0_2022-11-17_16-22-16.txt;1;11;144;2.13405;28.9149;17.4307;9.92991;4.92267;5.38046;4.80416;5.01689;TDG;(static,0);1;?;?;?;0
../test1_empty/fj005-1ranks-12threads_HPCG-Benchmark_3.0_2022-11-17_16-25-09.txt;1;12;144;2.13405;28.9735;17.3885;10.7456;5.20768;5.69461;5.05587;5.29009;TDG;(static,0);1;?;?;?;0
