filename;processes;threads/cores;nx;problem-size(GB);DDOT;WAXPY;SpMV;MG;Raw-Total;HPCG-3.0;HPCG-2.4;Mode;Schedule;nodes;DDOT-opt;SPVM-opt;SPMV-ARMPL;SCHED-ON
../test2_sve/fj004-1ranks-1threads_HPCG-Benchmark_3.0_2022-11-11_05-20-13.txt;1;1;144;2.13405;1.29067;3.89289;1.44804;0.845632;0.916317;0.894173;0.90227;TDG;(static,0);1;?;?;?;0
../test2_sve/fj004-1ranks-2threads_HPCG-Benchmark_3.0_2022-11-11_05-23-35.txt;1;2;144;2.13405;2.56696;7.72396;2.87568;1.58051;1.71966;1.65752;1.6773;TDG;(static,0);1;?;?;?;0
../test2_sve/fj004-1ranks-3threads_HPCG-Benchmark_3.0_2022-11-11_05-26-47.txt;1;3;144;2.13405;3.83235;11.399;3.9922;2.23118;2.42101;2.29469;2.33642;TDG;(static,0);1;?;?;?;0
../test2_sve/fj004-1ranks-4threads_HPCG-Benchmark_3.0_2022-11-11_05-30-01.txt;1;4;144;2.13405;5.10718;14.9101;4.619;2.72238;2.9385;2.76128;2.82135;TDG;(static,0);1;?;?;?;0
../test2_sve/fj004-1ranks-5threads_HPCG-Benchmark_3.0_2022-11-11_05-32-58.txt;1;5;144;2.13405;6.29264;17.0243;5.63504;3.20525;3.46697;3.22452;3.30759;TDG;(static,0);1;?;?;?;0
../test2_sve/fj004-1ranks-6threads_HPCG-Benchmark_3.0_2022-11-11_05-36-00.txt;1;6;144;2.13405;7.51816;17.219;6.52299;3.63405;3.93315;3.62462;3.73356;TDG;(static,0);1;?;?;?;0
../test2_sve/fj004-1ranks-7threads_HPCG-Benchmark_3.0_2022-11-11_05-38-52.txt;1;7;144;2.13405;8.75059;17.5327;7.58286;4.03234;4.37677;3.98358;4.13435;TDG;(static,0);1;?;?;?;0
../test2_sve/fj004-1ranks-8threads_HPCG-Benchmark_3.0_2022-11-11_05-41-51.txt;1;8;144;2.13405;9.97884;17.6494;8.59959;4.32327;4.71119;4.27691;4.43367;TDG;(static,0);1;?;?;?;0
../test2_sve/fj004-1ranks-9threads_HPCG-Benchmark_3.0_2022-11-11_05-44-43.txt;1;9;144;2.13405;11.1006;17.3798;9.45885;4.64027;5.06087;4.5663;4.74632;TDG;(static,0);1;?;?;?;0
../test2_sve/fj004-1ranks-10threads_HPCG-Benchmark_3.0_2022-11-11_05-47-30.txt;1;10;144;2.13405;12.3267;17.568;10.4077;4.95966;5.41595;4.83694;5.05902;TDG;(static,0);1;?;?;?;0
../test2_sve/fj004-1ranks-11threads_HPCG-Benchmark_3.0_2022-11-11_05-50-23.txt;1;11;144;2.13405;13.4803;17.5602;11.3915;5.24844;5.74049;5.10933;5.34381;TDG;(static,0);1;?;?;?;0
../test2_sve/fj002-1ranks-12threads_HPCG-Benchmark_3.0_2022-11-11_05-18-40.txt;1;12;144;2.13405;14.6153;17.3496;12.2142;5.42874;5.95021;5.25847;5.52745;TDG;(static,0);1;?;?;?;0
../test2_sve/fj004-1ranks-12threads_HPCG-Benchmark_3.0_2022-11-11_05-53-13.txt;1;12;144;2.13405;14.6361;17.5535;12.2202;5.43994;5.96202;5.29011;5.53939;TDG;(static,0);1;?;?;?;0
