filename;processes;threads/cores;nx;problem-size(GB);DDOT;WAXPY;SpMV;MG;Raw-Total;HPCG-3.0;HPCG-2.4;Mode;Schedule;nodes;DDOT-opt;SPVM-opt;SPMV-ARMPL;SCHED-ON
../test_NEW_6_unroll4_static_72/fj004-1ranks-1threads_HPCG-Benchmark_3.0_2022-11-25_03-58-30.txt;1;1;144;2.13405;8.54439;5.55283;1.51401;0.83823;0.92296;0.900797;0.908734;TDG;(static,144);1;?;1;?;1
../test_NEW_6_unroll4_static_72/fj004-1ranks-2threads_HPCG-Benchmark_3.0_2022-11-25_04-02-39.txt;1;2;144;2.13405;15.8316;10.5267;2.73965;1.01889;1.15707;1.12802;1.13756;TDG;(static,144);1;?;1;?;1
../test_NEW_6_unroll4_static_72/fj004-1ranks-3threads_HPCG-Benchmark_3.0_2022-11-25_04-06-28.txt;1;3;144;2.13405;21.5387;14.8468;4.06935;1.14036;1.31539;1.27653;1.2899;TDG;(static,144);1;?;1;?;1
../test_NEW_6_unroll4_static_72/fj004-1ranks-4threads_HPCG-Benchmark_3.0_2022-11-25_04-10-06.txt;1;4;144;2.13405;25.6015;17.0324;5.2137;1.214;1.41163;1.36855;1.38381;TDG;(static,144);1;?;1;?;1
../test_NEW_6_unroll4_static_72/fj004-1ranks-5threads_HPCG-Benchmark_3.0_2022-11-25_04-13-38.txt;1;5;144;2.13405;26.4376;17.2689;6.57367;1.2592;1.47432;1.4279;1.44467;TDG;(static,144);1;?;1;?;1
../test_NEW_6_unroll4_static_72/fj004-1ranks-6threads_HPCG-Benchmark_3.0_2022-11-25_04-17-06.txt;1;6;144;2.13405;27.3072;17.4808;7.65916;1.29646;1.52356;1.4712;1.49255;TDG;(static,144);1;?;1;?;1
../test_NEW_6_unroll4_static_72/fj004-1ranks-7threads_HPCG-Benchmark_3.0_2022-11-25_04-20-32.txt;1;7;144;2.13405;27.3213;17.3834;8.8604;1.31622;1.55217;1.49939;1.52053;TDG;(static,144);1;?;1;?;1
../test_NEW_6_unroll4_static_72/fj004-1ranks-8threads_HPCG-Benchmark_3.0_2022-11-25_04-23-56.txt;1;8;144;2.13405;27.5639;17.4626;10.2576;1.33758;1.58218;1.529;1.54965;TDG;(static,144);1;?;1;?;1
../test_NEW_6_unroll4_static_72/fj004-1ranks-9threads_HPCG-Benchmark_3.0_2022-11-25_04-27-18.txt;1;9;144;2.13405;27.394;17.3232;11.2278;1.35041;1.60004;1.54375;1.56715;TDG;(static,144);1;?;1;?;1
../test_NEW_6_unroll4_static_72/fj004-1ranks-10threads_HPCG-Benchmark_3.0_2022-11-25_04-30-38.txt;1;10;144;2.13405;27.1756;17.4472;12.5333;1.3603;1.61498;1.55902;1.58167;TDG;(static,144);1;?;1;?;1
../test_NEW_6_unroll4_static_72/fj004-1ranks-11threads_HPCG-Benchmark_3.0_2022-11-25_04-33-58.txt;1;11;144;2.13405;27.0708;17.4439;13.5109;1.36754;1.62559;1.56962;1.59216;TDG;(static,144);1;?;1;?;1
../test_NEW_6_unroll4_static_72/fj004-1ranks-12threads_HPCG-Benchmark_3.0_2022-11-25_04-37-17.txt;1;12;144;2.13405;22.211;17.3885;14.2132;1.38151;1.64287;1.58448;1.60883;TDG;(static,144);1;?;1;?;1
