filename;processes;threads/cores;nx;problem-size(GB);DDOT;WAXPY;SpMV;MG;Raw-Total;HPCG-3.0;HPCG-2.4;Mode;Schedule;nodes;DDOT-opt;SPVM-opt;SPMV-ARMPL;SCHED-ON
../test_NEW_unroll2_static/fj002-1ranks-1threads_HPCG-Benchmark_3.0_2022-11-24_04-34-51.txt;1;1;144;2.13405;8.52091;5.44154;1.52956;0.811895;0.897429;0.874794;0.882264;TDG;(static,144);1;?;1;?;1
../test_NEW_unroll2_static/fj002-1ranks-1threads_HPCG-Benchmark_3.0_2022-11-24_04-46-10.txt;1;1;144;2.13405;8.52627;5.44078;1.49871;0.810264;0.894206;0.873411;0.880865;TDG;(static,144);1;?;1;?;1
../test_NEW_unroll2_static/fj002-1ranks-2threads_HPCG-Benchmark_3.0_2022-11-24_04-49-44.txt;1;2;144;2.13405;16.1705;10.5494;2.33893;1.39596;1.52458;1.47481;1.49116;TDG;(static,144);1;?;1;?;1
../test_NEW_unroll2_static/fj002-1ranks-3threads_HPCG-Benchmark_3.0_2022-11-24_04-53-12.txt;1;3;144;2.13405;22.2552;14.8822;3.44052;1.88767;2.0747;1.98013;2.01235;TDG;(static,144);1;?;1;?;1
../test_NEW_unroll2_static/fj002-1ranks-4threads_HPCG-Benchmark_3.0_2022-11-24_04-56-19.txt;1;4;144;2.13405;26.3436;17.3619;4.5827;2.30201;2.54547;2.40964;2.45713;TDG;(static,144);1;?;1;?;1
../test_NEW_unroll2_static/fj002-1ranks-5threads_HPCG-Benchmark_3.0_2022-11-24_04-59-34.txt;1;5;144;2.13405;27.6609;17.3819;5.63546;2.64147;2.93223;2.75461;2.81735;TDG;(static,144);1;?;1;?;1
../test_NEW_unroll2_static/fj002-1ranks-6threads_HPCG-Benchmark_3.0_2022-11-24_05-02-36.txt;1;6;144;2.13405;28.7467;17.5608;6.89689;2.91937;3.26078;3.03309;3.12244;TDG;(static,144);1;?;1;?;1
../test_NEW_unroll2_static/fj002-1ranks-7threads_HPCG-Benchmark_3.0_2022-11-24_05-05-32.txt;1;7;144;2.13405;28.7717;17.5724;7.86237;3.18108;3.55952;3.29422;3.39822;TDG;(static,144);1;?;1;?;1
../test_NEW_unroll2_static/fj002-1ranks-8threads_HPCG-Benchmark_3.0_2022-11-24_05-08-35.txt;1;8;144;2.13405;28.866;17.4162;8.91621;3.39525;3.81006;3.51532;3.62681;TDG;(static,144);1;?;1;?;1
../test_NEW_unroll2_static/fj002-1ranks-9threads_HPCG-Benchmark_3.0_2022-11-24_05-11-35.txt;1;9;144;2.13405;28.7182;17.3697;10.0763;3.57722;4.02769;3.68752;3.82615;TDG;(static,144);1;?;1;?;1
../test_NEW_unroll2_static/fj002-1ranks-10threads_HPCG-Benchmark_3.0_2022-11-24_05-14-29.txt;1;10;144;2.13405;28.7235;17.4669;10.9804;3.75662;4.23505;3.87066;4.01378;TDG;(static,144);1;?;1;?;1
../test_NEW_unroll2_static/fj002-1ranks-11threads_HPCG-Benchmark_3.0_2022-11-24_05-17-21.txt;1;11;144;2.13405;28.7995;17.4802;12.1899;3.90157;4.41161;4.02141;4.174;TDG;(static,144);1;?;1;?;1
../test_NEW_unroll2_static/fj002-1ranks-12threads_HPCG-Benchmark_3.0_2022-11-24_05-20-10.txt;1;12;144;2.13405;28.5208;17.3729;12.9156;4.02869;4.55841;4.13453;4.30532;TDG;(static,144);1;?;1;?;1
