filename;processes;threads/cores;nx;problem-size(GB);DDOT;WAXPY;SpMV;MG;Raw-Total;HPCG-3.0;HPCG-2.4;Mode;Schedule;nodes;DDOT-opt;SPVM-opt;SPMV-ARMPL;SCHED-ON
../test6_unroll2_2/fj158-1ranks-1threads_HPCG-Benchmark_3.0_2022-11-17_04-18-58.txt;1;1;144;2.13405;8.56436;5.55159;1.49052;0.80835;0.891928;0.871261;0.878651;TDG;(static,0);1;?;1;?;0
../test6_unroll2_2/fj158-1ranks-2threads_HPCG-Benchmark_3.0_2022-11-17_04-22-23.txt;1;2;144;2.13405;16.6225;10.4589;2.95637;1.50268;1.66376;1.6055;1.62393;TDG;(static,0);1;?;1;?;0
../test6_unroll2_2/fj158-1ranks-3threads_HPCG-Benchmark_3.0_2022-11-17_04-25-38.txt;1;3;144;2.13405;22.1153;14.8377;4.28648;2.12278;2.35048;2.23148;2.27047;TDG;(static,0);1;?;1;?;0
../test6_unroll2_2/fj158-1ranks-4threads_HPCG-Benchmark_3.0_2022-11-17_04-28-54.txt;1;4;144;2.13405;26.388;17.0538;4.81875;2.60014;2.85355;2.68584;2.74258;TDG;(static,0);1;?;1;?;0
../test6_unroll2_2/fj158-1ranks-5threads_HPCG-Benchmark_3.0_2022-11-17_04-31-53.txt;1;5;144;2.13405;27.8079;17.3248;5.93798;3.0682;3.37253;3.14375;3.22191;TDG;(static,0);1;?;1;?;0
../test6_unroll2_2/fj158-1ranks-6threads_HPCG-Benchmark_3.0_2022-11-17_04-34-57.txt;1;6;144;2.13405;28.9217;17.5297;6.93497;3.49316;3.84037;3.54717;3.65016;TDG;(static,0);1;?;1;?;0
../test6_unroll2_2/fj158-1ranks-7threads_HPCG-Benchmark_3.0_2022-11-17_04-37-52.txt;1;7;144;2.13405;28.9097;17.5363;7.93091;3.83125;4.21927;3.85221;3.99383;TDG;(static,0);1;?;1;?;0
../test6_unroll2_2/fj158-1ranks-8threads_HPCG-Benchmark_3.0_2022-11-17_04-40-42.txt;1;8;144;2.13405;28.9776;17.43;9.03581;4.13471;4.56555;4.1549;4.30517;TDG;(static,0);1;?;1;?;0
../test6_unroll2_2/fj158-1ranks-9threads_HPCG-Benchmark_3.0_2022-11-17_04-43-36.txt;1;9;144;2.13405;28.9501;17.4576;9.97792;4.48088;4.9465;4.46931;4.64558;TDG;(static,0);1;?;1;?;0
../test6_unroll2_2/fj158-1ranks-10threads_HPCG-Benchmark_3.0_2022-11-17_04-46-25.txt;1;10;144;2.13405;28.8247;17.5075;10.8372;4.77111;5.26712;4.71664;4.92941;TDG;(static,0);1;?;1;?;0
../test6_unroll2_2/fj158-1ranks-11threads_HPCG-Benchmark_3.0_2022-11-17_04-49-21.txt;1;11;144;2.13405;28.8277;17.5202;11.8619;5.02276;5.55332;4.9568;5.18183;TDG;(static,0);1;?;1;?;0
../test6_unroll2_2/fj158-1ranks-12threads_HPCG-Benchmark_3.0_2022-11-17_04-52-13.txt;1;12;144;2.13405;28.6716;17.3886;12.8288;5.2484;5.80975;5.13474;5.40518;TDG;(static,0);1;?;1;?;0
