filename;processes;threads/cores;nx;problem-size(GB);DDOT;WAXPY;SpMV;MG;Raw-Total;HPCG-3.0;HPCG-2.4;Mode;Schedule;nodes;DDOT-opt;SPVM-opt;SPMV-ARMPL;SCHED-ON
../test1_nosve/fj003-1ranks-1threads_HPCG-Benchmark_3.0_2022-11-11_05-14-01.txt;1;1;144;2.13405;8.50933;5.43915;1.19846;0.785651;0.851357;0.832224;0.839234;TDG;(static,0);1;?;?;?;0
../test1_nosve/fj003-1ranks-2threads_HPCG-Benchmark_3.0_2022-11-11_05-17-30.txt;1;2;144;2.13405;16.3737;10.8065;2.37864;1.46633;1.59587;1.54221;1.55927;TDG;(static,0);1;?;?;?;0
../test1_nosve/fj003-1ranks-3threads_HPCG-Benchmark_3.0_2022-11-11_05-20-50.txt;1;3;144;2.13405;22.4073;15.1692;3.47305;2.07748;2.26316;2.15215;2.18879;TDG;(static,0);1;?;?;?;0
../test1_nosve/fj003-1ranks-4threads_HPCG-Benchmark_3.0_2022-11-11_05-23-49.txt;1;4;144;2.13405;27.2335;17.0937;3.96398;2.54359;2.7472;2.59127;2.64399;TDG;(static,0);1;?;?;?;0
../test1_nosve/fj003-1ranks-5threads_HPCG-Benchmark_3.0_2022-11-11_05-26-53.txt;1;5;144;2.13405;28.1509;17.2965;4.91321;3.01123;3.2602;3.04022;3.1137;TDG;(static,0);1;?;?;?;0
../test1_nosve/fj003-1ranks-6threads_HPCG-Benchmark_3.0_2022-11-11_05-29-59.txt;1;6;144;2.13405;29.4264;17.552;5.7567;3.40869;3.69636;3.42261;3.51986;TDG;(static,0);1;?;?;?;0
../test1_nosve/fj003-1ranks-7threads_HPCG-Benchmark_3.0_2022-11-11_05-32-57.txt;1;7;144;2.13405;29.2625;17.5424;6.59874;3.8061;4.1296;3.77756;3.91286;TDG;(static,0);1;?;?;?;0
../test1_nosve/fj003-1ranks-8threads_HPCG-Benchmark_3.0_2022-11-11_05-35-49.txt;1;8;144;2.13405;29.2476;17.5203;7.51719;4.06612;4.43169;4.04552;4.18566;TDG;(static,0);1;?;?;?;0
../test1_nosve/fj003-1ranks-9threads_HPCG-Benchmark_3.0_2022-11-11_05-38-45.txt;1;9;144;2.13405;28.9279;17.3884;8.41517;4.42143;4.82248;4.37252;4.53571;TDG;(static,0);1;?;?;?;0
../test1_nosve/fj003-1ranks-10threads_HPCG-Benchmark_3.0_2022-11-11_05-41-35.txt;1;10;144;2.13405;28.9664;17.5375;9.1585;4.74428;5.17307;4.6421;4.84693;TDG;(static,0);1;?;?;?;0
../test1_nosve/fj003-1ranks-11threads_HPCG-Benchmark_3.0_2022-11-11_05-44-23.txt;1;11;144;2.13405;28.9118;17.4926;9.998;4.94935;5.41122;4.84314;5.05731;TDG;(static,0);1;?;?;?;0
../test1_nosve/fj003-1ranks-12threads_HPCG-Benchmark_3.0_2022-11-11_05-47-16.txt;1;12;144;2.13405;28.847;17.4708;10.8414;5.17062;5.66363;5.05276;5.28007;TDG;(static,0);1;?;?;?;0
