filename;processes;threads/cores;nx;problem-size(GB);DDOT;WAXPY;SpMV;MG;Raw-Total;HPCG-3.0;HPCG-2.4;Mode;Schedule;nodes;DDOT-opt;SPVM-opt;SPMV-ARMPL;SCHED-ON
../test4_armpl/fj015-1ranks-1threads_HPCG-Benchmark_3.0_2022-11-11_05-41-41.txt;1;1;144;2.13405;8.84081;5.74385;1.07623;0.773187;0.829794;0.805341;0.811654;TDG;(static,0);1;?;?;1;0
../test4_armpl/fj015-1ranks-2threads_HPCG-Benchmark_3.0_2022-11-11_05-45-22.txt;1;2;144;2.13405;16.1457;10.7078;2.0336;1.39596;1.503;1.43939;1.45503;TDG;(static,0);1;?;?;1;0
../test4_armpl/fj015-1ranks-3threads_HPCG-Benchmark_3.0_2022-11-11_05-48-48.txt;1;3;144;2.13405;22.6747;14.5397;2.99213;2.03775;2.19105;2.06146;2.0949;TDG;(static,0);1;?;?;1;0
../test4_armpl/fj015-1ranks-4threads_HPCG-Benchmark_3.0_2022-11-11_05-51-53.txt;1;4;144;2.13405;26.2124;16.4821;3.5195;2.5095;2.68002;2.49768;2.54681;TDG;(static,0);1;?;?;1;0
../test4_armpl/fj015-1ranks-5threads_HPCG-Benchmark_3.0_2022-11-11_05-55-00.txt;1;5;144;2.13405;28.0282;17.3724;4.40838;2.97242;3.18766;2.9397;3.00823;TDG;(static,0);1;?;?;1;0
../test4_armpl/fj015-1ranks-6threads_HPCG-Benchmark_3.0_2022-11-11_05-57-57.txt;1;6;144;2.13405;28.8638;17.1424;5.23523;3.38204;3.63618;3.31618;3.41105;TDG;(static,0);1;?;?;1;0
../test4_armpl/fj015-1ranks-7threads_HPCG-Benchmark_3.0_2022-11-11_06-01-00.txt;1;7;144;2.13405;29.1303;17.5569;5.94217;3.72761;4.01358;3.61856;3.7464;TDG;(static,0);1;?;?;1;0
../test4_armpl/fj015-1ranks-8threads_HPCG-Benchmark_3.0_2022-11-11_06-03-55.txt;1;8;144;2.13405;29.2648;17.0143;6.85238;4.08098;4.40838;3.94675;4.09323;TDG;(static,0);1;?;?;1;0
../test4_armpl/fj015-1ranks-9threads_HPCG-Benchmark_3.0_2022-11-11_06-06-57.txt;1;9;144;2.13405;28.9866;17.2976;7.65519;4.37876;4.74139;4.19908;4.3841;TDG;(static,0);1;?;?;1;0
../test4_armpl/fj015-1ranks-10threads_HPCG-Benchmark_3.0_2022-11-11_06-09-52.txt;1;10;144;2.13405;28.6611;17.2953;8.25266;4.65086;5.03616;4.44679;4.63879;TDG;(static,0);1;?;?;1;0
../test4_armpl/fj015-1ranks-11threads_HPCG-Benchmark_3.0_2022-11-11_06-12-44.txt;1;11;144;2.13405;29.0459;17.5065;8.98692;4.9283;5.3429;4.68851;4.90215;TDG;(static,0);1;?;?;1;0
../test4_armpl/fj015-1ranks-12threads_HPCG-Benchmark_3.0_2022-11-11_06-15-42.txt;1;12;144;2.13405;29.0534;17.5041;9.82154;5.15537;5.60417;4.87595;5.12527;TDG;(static,0);1;?;?;1;0
