filename;processes;threads/cores;nx;problem-size(GB);DDOT;WAXPBY;SpMV;MG;Raw-Total;HPCG-3.0;HPCG-2.4;Mode;Schedule;nodes;DDOT-opt;SPVM-opt;SPMV-ARMPL;SCHED-ON;MG-GS;MG-SPMV
initial/fj159-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-14_14-01-39.txt;1;12;176;3.89633;14.3293;21.48;12.1034;5.99324;6.48009;5.56616;5.84869;TDG;(static,0);1;?;?;?;0;?;?
nosch_spmv/fj168-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-16_16-15-15.txt;1;12;176;3.89633;19.5974;21.1649;13.0325;8.14118;8.5443;7.05904;7.52067;TDG;(static:0);1;?;1;?;0;8.18775;11.5405
nosch_spmv/fj168-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-16_16-23-23.txt;1;12;176;3.89633;19.5945;21.1731;13.0331;8.14046;8.54383;7.05856;7.52096;TDG;(static:0);1;?;1;?;0;8.18441;11.542
nosch_spmv/fj168-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-16_16-31-30.txt;1;12;176;3.89633;19.6107;21.1656;13.0398;8.14435;8.54779;7.06498;7.52464;TDG;(static:0);1;?;1;?;0;8.19093;11.5418
optimal/2_sch_176/fj166-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-14_14-08-44.txt;1;12;176;3.89633;19.6118;21.1635;15.5033;8.36663;8.88736;7.30782;7.79765;TDG;(static:720);1;?;1;?;0;8.22729;14.6223
optimal/2_sch_176/fj166-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-14_14-16-58.txt;1;12;176;3.89633;19.5808;21.1408;15.5421;8.47731;8.99163;7.38208;7.87932;TDG;(static:720);1;?;1;?;0;8.33121;14.948
optimal/2_sch_176/fj166-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-14_14-25-13.txt;1;12;176;3.89633;19.5674;21.1571;15.5426;8.47229;8.98687;7.37369;7.87206;TDG;(static:720);1;?;1;?;0;8.32734;14.9292
optimal/2_sch_176/fj168-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-14_14-10-40.txt;1;12;176;3.89633;19.5885;21.1589;15.4932;8.36759;8.88781;7.29991;7.79735;TDG;(static:528);1;?;1;?;0;8.22076;14.7288
optimal/2_sch_176/fj168-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-14_14-18-55.txt;1;12;176;3.89633;19.5887;21.1601;15.5279;8.47466;8.98836;7.37486;7.8737;TDG;(static:528);1;?;1;?;0;8.32101;15.0296
optimal/2_sch_176/fj168-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-14_14-27-11.txt;1;12;176;3.89633;19.5954;21.1724;15.5384;8.42177;8.94019;7.34676;7.83661;TDG;(static:528);1;?;1;?;0;8.28331;14.8308
optimal/3_sch_176_barrier/fj167-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-14_14-10-33.txt;1;12;176;3.89633;19.8104;21.3451;15.5135;8.79811;9.28646;7.59307;8.10361;TDG;(static:528);1;?;1;?;0;8.62346;15.0059
optimal/3_sch_176_barrier/fj167-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-14_14-18-48.txt;1;12;176;3.89633;19.7881;21.295;15.5415;8.79943;9.28901;7.59561;8.10696;TDG;(static:528);1;?;1;?;0;8.62677;14.9772
optimal/3_sch_176_barrier/fj167-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-14_14-26-53.txt;1;12;176;3.89633;19.7807;21.3441;15.5794;8.7569;9.252;7.57011;8.0755;TDG;(static:528);1;?;1;?;0;8.58882;14.7867
optimal/fj160-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-14_13-46-58.txt;1;12;176;3.89633;19.5627;21.1029;15.5272;8.43491;8.9512;7.34852;7.83986;TDG;(static:0);1;?;1;?;0;8.27474;14.8922
optimal/fj160-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-14_13-55-05.txt;1;12;176;3.89633;19.5319;21.0749;15.6034;8.3607;8.88571;7.30314;7.79101;TDG;(static:0);1;?;1;?;0;8.17746;14.8724
optimal/fj160-1ranks-12threads_HPCG-Benchmark_3.0_2023-11-14_14-03-12.txt;1;12;176;3.89633;19.5507;21.11;15.6122;8.37019;8.89522;7.30785;7.79644;TDG;(static:0);1;?;1;?;0;8.18517;14.9473
